,시군명,시설구분명,시장명,전화번호,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,dong
76,성남시,전통시장,야탑에이스코아시장,031-701-0662,13520.0,경기도 성남시 분당구 야탑로64(야탑동),경기도 성남시 분당구 야탑동 502,37.40949256,127.1259635,야탑동
77,성남시,전통시장,현대시장,031-701-1240,13589.0,경기도 성남시 분당구 중앙공원로40번길8(서현동),경기도 성남시 분당구 서현동 94,37.37972481,127.13015890000001,서현동
78,성남시,전통시장,분당우성시장,031-701-4309,13589.0,경기도 성남시 분당구 중앙공원로40번길42(서현동),경기도 성남시 분당구 서현동 94-3,37.37819123,127.1323784,서현동
79,성남시,전통시장,범한프라자시장,031-701-6050,13587.0,경기도 성남시 분당구 불정로 376번길37(서현동),경기도 성남시 분당구 서현동 312-3,37.37162882,127.1394426,서현동
80,성남시,전통시장,미래타운제2종합시장,031-704-8151,13587.0,"경기도 성남시 분당구 불정로376번길31(서현동,효자촌주상복합)",경기도 성남시 분당구 서현동 311,37.37225551,127.1388822,서현동
81,성남시,전통시장,코코프라자시장,031-707-7315,13591.0,경기도 성남시 분당구 서현로210번길20(서현동),"경기도 성남시 분당구 서현동 248-5,6",37.38585207,127.1240355,서현동
82,성남시,전통시장,미래그린시장,031-709-1131,13587.0,"경기도 성남시 분당구 불정로376번길10(서현동,효자촌미래타운)",경기도 성남시 분당구 서현동 307,37.41408602,127.1220354,서현동
83,성남시,전통시장,청구문화시장,031-711-0826,13597.0,경기도 성남시 분당구 내정로165번길38,경기도 성남시 분당구 수내동 32,37.37663919,127.11623870000001,수내동
84,성남시,전통시장,동신종합시장,031-711-8628,13599.0,경기도 성남시 분당구 돌마로361(수내동),경기도 성남시 분당구 수내동 63-2,37.37061594,127.12297050000001,수내동
85,성남시,전통시장,코끼리상가,031-713-1071,13599.0,"경기도 성남시 분당구 내정로166번길7-6(수내동,파크타운)",경기도 성남시 분당구 수내동 56,37.37310207,127.12042379999998,수내동
86,성남시,전통시장,분당종합시장,031-716-9814,13600.0,경기도 성남시 분당구 돌마로366번길42(수내동),"경기도 성남시 분당구 수내동 83-1,2",37.367174600000006,127.1267361,수내동
87,성남시,전통시장,현대프라자시장,031-717-3044,13600.0,경기도 성남시 분당구 돌마로364(수내동),경기도 성남시 분당구 수내동 79-2,37.36999034,127.1236664,수내동
